k,BubbleSort partiel,BuildHeap / Remove,HeapSort
819,6832227,17283,124199
820,6839364,17295,124199
821,6846497,17307,124199
822,6853626,17318,124199
823,6860751,17329,124199
824,6867875,17342,124199
825,6874997,17354,124199
826,6882117,17366,124199
827,6889237,17378,124199
828,6896356,17390,124199
829,6903471,17403,124199
830,6910585,17415,124199
831,6917695,17426,124199
832,6924802,17437,124199
833,6931907,17449,124199
834,6939010,17461,124199
835,6946110,17473,124199
836,6953208,17485,124199
837,6960305,17498,124199
838,6967400,17510,124199
839,6974493,17521,124199
840,6981580,17533,124199
841,6988664,17545,124199
842,6995747,17557,124199
843,7002828,17569,124199
844,7009908,17581,124199
845,7016984,17592,124199
846,7024057,17603,124199
847,7031125,17615,124199
848,7038193,17627,124199
849,7045257,17638,124199
850,7052320,17650,124199
851,7059381,17662,124199
852,7066439,17674,124199
853,7073495,17685,124199
854,7080551,17697,124199
855,7087607,17709,124199
856,7094662,17720,124199
857,7101714,17732,124199
858,7108764,17745,124199
859,7115809,17756,124199
860,7122853,17768,124199
861,7129892,17779,124199
862,7136927,17792,124199
863,7143962,17804,124199
864,7150995,17816,124199
865,7158027,17828,124199
866,7165058,17840,124199
867,7172086,17852,124199
868,7179110,17864,124199
869,7186132,17876,124199
870,7193150,17888,124199
871,7200166,17900,124199
872,7207182,17911,124199
873,7214193,17922,124199
874,7221200,17933,124199
875,7228203,17946,124199
876,7235202,17958,124199
877,7242196,17969,124199
878,7249190,17982,124199
879,7256184,17994,124199
880,7263173,18005,124199
881,7270158,18017,124199
882,7277142,18029,124199
883,7284123,18041,124199
884,7291101,18054,124199
885,7298078,18066,124199
886,7305053,18078,124199
887,7312024,18090,124199
888,7318995,18101,124199
889,7325964,18113,124199
890,7332932,18125,124199
891,7339900,18137,124199
892,7346865,18149,124199
893,7353826,18161,124199
894,7360787,18173,124199
895,7367747,18186,124199
896,7374706,18198,124199
897,7381663,18211,124199
898,7388616,18223,124199
899,7395562,18235,124199
900,7402504,18247,124199
901,7409441,18259,124199
902,7416377,18271,124199
